Release_date=2017-03-01
Gene	Domaine	Start	End	Accession
AURKAIP1_CCDS25.1	DUF1713	127	157	PF08213.10
MRPL20_CCDS26.1	Ribosomal_L20	15	116	PF00453.17
ATAD3B_CCDS30.1	DUF3523	38	286	PF12037.7
ATAD3B_CCDS30.1	AAA	348	474	PF00004.28
ATAD3A_CCDS31.1	DUF3523	38	95	PF12037.7
ATAD3A_CCDS31.1	DUF3523	141	334	PF12037.7
ATAD3A_CCDS31.1	AAA	396	522	PF00004.28
SSU72_CCDS32.1	Ssu72	6	194	PF04722.12
SLC35E2_CCDS33.1	TPT	74	195	PF03151.15
GNB1_CCDS34.1	WD40	48	83	PF00400.31
GNB1_CCDS34.1	WD40	99	125	PF00400.31
GNB1_CCDS34.1	WD40	137	170	PF00400.31
GNB1_CCDS34.1	WD40	174	212	PF00400.31
GNB1_CCDS34.1	WD40	217	254	PF00400.31
GNB1_CCDS34.1	WD40	260	298	PF00400.31
GNB1_CCDS34.1	WD40	307	340	PF00400.31
TMEM52_CCDS35.1	TMEM52	37	182	PF14979.5
GABRD_CCDS36.1	Neur_chan_memb	255	363	PF02932.15
GABRD_CCDS36.1	Neur_chan_LBD	45	246	PF02931.22
PRKCZ_CCDS37.1	PB1	16	97	PF00564.23
PRKCZ_CCDS37.1	Pkinase	254	518	PF00069.24
PRKCZ_CCDS37.1	C1_1	131	182	PF00130.21
PRKCZ_CCDS37.1	Pkinase_C	546	580	PF00433.23
C1orf86_CCDS38.2	UBZ_FAAP20	144	178	PF15750.4
C1orf86_CCDS38.2	FANCA_interact	35	139	PF15751.4
SKI_CCDS39.1	Ski_Sno	87	190	PF02437.16
SKI_CCDS39.1	c-SKI_SMAD_bind	217	311	PF08782.9
MORN1_CCDS40.1	MORN	24	34	PF02493.19
MORN1_CCDS40.1	MORN	39	60	PF02493.19
MORN1_CCDS40.1	MORN	62	81	PF02493.19
MORN1_CCDS40.1	MORN	86	107	PF02493.19
MORN1_CCDS40.1	MORN	109	130	PF02493.19
MORN1_CCDS40.1	MORN	132	153	PF02493.19
MORN1_CCDS40.1	MORN	155	177	PF02493.19
MORN1_CCDS40.1	MORN	178	194	PF02493.19
CFTR_CCDS5773.1	CFTR_R	639	849	PF14396.5
CFTR_CCDS5773.1	ABC_tran	441	575	PF00005.26
CFTR_CCDS5773.1	ABC_tran	1227	1374	PF00005.26
CFTR_CCDS5773.1	ABC_membrane	82	350	PF00664.22
CFTR_CCDS5773.1	ABC_membrane	862	1147	PF00664.22
PEX10_CCDS41.1	Pex2_Pex12	18	262	PF04757.13
PEX10_CCDS41.1	zf-C3HC4_3	291	333	PF13920.5
PANK4_CCDS42.1	Fumble	37	367	PF03630.13
PANK4_CCDS42.1	DUF89	451	758	PF01937.18
FAM213B_CCDS44.2	AhpC-TSA_2	84	194	PF13911.5
ACTRT2_CCDS45.1	Actin	8	377	PF00022.18
ARHGEF16_CCDS46.2	PH	506	617	PF00169.28
ARHGEF16_CCDS46.2	RhoGEF	289	466	PF00621.19
ARHGEF16_CCDS46.2	SH3_9	639	683	PF14604.5
TPRG1L_CCDS47.1	hSac2	63	168	PF12456.7
WRAP73_CCDS48.1	ANAPC4_WD40	204	261	PF12894.6
TP73_CCDS49.1	P53	114	309	PF00870.17
TP73_CCDS49.1	P53_tetramer	345	383	PF07710.10
TP73_CCDS49.1	SAM_2	486	549	PF07647.16
LRRC47_CCDS51.1	LRR_8	99	163	PF13855.5
LRRC47_CCDS51.1	LRR_8	181	237	PF13855.5
LRRC47_CCDS51.1	B3_4	372	492	PF03483.16
DFFB_CCDS52.1	DFF40	101	323	PF09230.9
DFFB_CCDS52.1	CIDE-N	6	79	PF02017.14
C1orf174_CCDS53.1	UPF0688	6	237	PF15772.4
AJAP1_CCDS54.1	AJAP1_PANP_C	181	388	PF15298.5
KCNAB2_CCDS55.1	Aldo_ket_red	52	354	PF00248.20
KCNAB2_CCDS56.1	Aldo_ket_red	38	340	PF00248.20
CHD5_CCDS57.1	CHDCT2	1733	1903	PF08074.10
CHD5_CCDS57.1	DUF1086	1389	1528	PF06461.10
CHD5_CCDS57.1	DUF1087	1301	1358	PF06465.12
CHD5_CCDS57.1	Helicase_C	1026	1138	PF00271.30
CHD5_CCDS57.1	Chromo	593	630	PF00385.23
CHD5_CCDS57.1	SNF2_N	716	998	PF00176.22
CHD5_CCDS57.1	CHDNT	150	200	PF08073.11
CHD5_CCDS57.1	PHD	345	389	PF00628.28
CHD5_CCDS57.1	PHD	418	462	PF00628.28
RPL22_CCDS58.1	Ribosomal_L22e	16	124	PF01776.16
RNF207_CCDS59.2	zf-B_box	96	144	PF00643.23
RNF207_CCDS59.2	zf-C3HC4	25	63	PF00097.24
ICMT_CCDS61.1	ICMT	164	257	PF04140.13
GPR153_CCDS64.1	7tm_1	28	256	PF00001.20
ACOT7_CCDS65.1	4HBT	69	148	PF03061.21
ACOT7_CCDS65.1	4HBT	242	312	PF03061.21
ACOT7_CCDS66.1	4HBT	39	118	PF03061.21
ACOT7_CCDS66.1	4HBT	212	283	PF03061.21
ACOT7_CCDS67.1	4HBT	18	97	PF03061.21
ACOT7_CCDS67.1	4HBT	191	262	PF03061.21
ESPN_CCDS70.1	Ank_2	8	101	PF12796.6
ESPN_CCDS70.1	Ank_2	108	202	PF12796.6
ESPN_CCDS70.1	Ank_2	210	302	PF12796.6
ESPN_CCDS70.1	WH2	648	673	PF02205.19
TNFRSF25_CCDS71.1	Death	334	411	PF00531.21
TNFRSF25_CCDS71.1	TNFR_c6	73	115	PF00020.17
TNFRSF25_CCDS72.1	Death	343	420	PF00531.21
TNFRSF25_CCDS72.1	TNFR_c6	73	115	PF00020.17
TNFRSF25_CCDS73.1	Death	297	374	PF00531.21
TNFRSF25_CCDS73.1	TNFR_c6	73	115	PF00020.17
TNFRSF25_CCDS74.1	Death	289	366	PF00531.21
TNFRSF25_CCDS75.1	Death	151	228	PF00531.21
PLEKHG5_CCDS79.1	RhoGEF	341	526	PF00621.19
NOL9_CCDS80.1	CLP1_P	306	439	PF16575.4
TAS1R1_CCDS81.1	7tm_3	579	814	PF00003.21
TAS1R1_CCDS81.1	NCD3G	493	545	PF07562.13
TAS1R1_CCDS81.1	ANF_receptor	76	458	PF01094.27
TAS1R1_CCDS82.1	7tm_3	325	560	PF00003.21
TAS1R1_CCDS82.1	NCD3G	239	291	PF07562.13
TAS1R1_CCDS82.1	ANF_receptor	76	167	PF01094.27
ZBTB48_CCDS84.1	zf-C2H2_6	493	516	PF13912.5
ZBTB48_CCDS84.1	BTB	16	115	PF00651.30
ZBTB48_CCDS84.1	zf-C2H2	319	338	PF00096.25
ZBTB48_CCDS84.1	zf-C2H2	350	372	PF00096.25
ZBTB48_CCDS84.1	zf-C2H2	378	401	PF00096.25
ZBTB48_CCDS84.1	zf-C2H2	465	487	PF00096.25
ZBTB48_CCDS84.1	zf-C2H2	551	572	PF00096.25
ZBTB48_CCDS84.1	zf-C2H2	578	600	PF00096.25
PHF13_CCDS85.1	PHD	235	279	PF00628.28
THAP3_CCDS86.1	THAP	5	82	PF05485.11
DNAJC11_CCDS87.1	DUF3395	410	549	PF11875.7
DNAJC11_CCDS87.1	DnaJ	14	79	PF00226.30
PER3_CCDS89.1	PAS_3	285	372	PF08447.11
PER3_CCDS89.1	Period_C	1045	1187	PF12114.7
UTS2_CCDS90.1	Urotensin_II	128	139	PF02083.14
UTS2_CCDS91.1	Urotensin_II	113	124	PF02083.14
TNFRSF9_CCDS92.1	TNFR_c6	48	86	PF00020.17
PARK7_CCDS93.1	DJ-1_PfpI	4	170	PF01965.23
ERRFI1_CCDS94.1	Inhibitor_Mig-6	315	369	PF11555.7
RERE_CCDS95.1	BAH	104	281	PF01426.17
RERE_CCDS95.1	Atrophin-1	568	1565	PF03154.14
RERE_CCDS95.1	GATA	507	541	PF00320.26
RERE_CCDS95.1	ELM2	286	336	PF01448.23
ENO1_CCDS97.1	Enolase_C	143	430	PF00113.21
ENO1_CCDS97.1	Enolase_N	3	134	PF03952.15
SLC2A7_CCDS98.2	Sugar_tr	27	481	PF00083.23
SLC2A5_CCDS99.1	Sugar_tr	21	475	PF00083.23
GPR157_CCDS100.2	7tm_2	19	236	PF00002.23
H6PD_CCDS101.1	G6PD_C	217	508	PF02781.15
H6PD_CCDS101.1	Glucosamine_iso	560	782	PF01182.19
H6PD_CCDS101.1	G6PD_N	29	211	PF00479.21
SPSB1_CCDS102.1	SOCS_box	234	272	PF07525.15
SPSB1_CCDS102.1	SPRY	98	220	PF00622.27
SLC25A33_CCDS103.1	Mito_carr	9	120	PF00153.26
SLC25A33_CCDS103.1	Mito_carr	128	216	PF00153.26
SLC25A33_CCDS103.1	Mito_carr	231	316	PF00153.26
PIK3CD_CCDS104.1	PI3Ka	502	682	PF00613.19
PIK3CD_CCDS104.1	PI3K_rbd	176	280	PF00794.17
PIK3CD_CCDS104.1	PI3_PI4_kinase	774	990	PF00454.26
PIK3CD_CCDS104.1	PI3K_C2	339	449	PF00792.23
PIK3CD_CCDS104.1	PI3K_p85B	33	107	PF02192.15
CLSTN1_CCDS105.1	Cadherin	159	247	PF00028.16
CLSTN1_CCDS105.1	Laminin_G_3	356	477	PF13385.5
CTNNBIP1_CCDS106.1	ICAT	1	78	PF06384.10
LZIC_CCDS107.1	ICAT	113	188	PF06384.10
NMNAT1_CCDS108.1	CTP_transf_like	12	229	PF01467.25
RBP7_CCDS109.1	Lipocalin	6	133	PF00061.22
UBE4B_CCDS110.1	U-box	1099	1170	PF04564.14
UBE4B_CCDS110.1	Ufd2P_core	462	1083	PF10408.8
KIF1B_CCDS111.1	PH	1657	1750	PF00169.28
KIF1B_CCDS111.1	FHA	512	581	PF00498.25
KIF1B_CCDS111.1	Kinesin	11	348	PF00225.22
KIF1B_CCDS111.1	DUF3694	1220	1366	PF12473.7
KIF1B_CCDS111.1	KIF1B	799	846	PF12423.7
KIF1B_CCDS111.1	Kinesin_assoc	352	390	PF16183.4
KIF1B_CCDS111.1	Kinesin_assoc	389	509	PF16183.4
KIF1B_CCDS112.1	FHA	512	581	PF00498.25
KIF1B_CCDS112.1	Kinesin	11	348	PF00225.22
KIF1B_CCDS112.1	Kinesin_assoc	352	390	PF16183.4
KIF1B_CCDS112.1	Kinesin_assoc	389	509	PF16183.4
PGD_CCDS113.1	6PGD	180	469	PF00393.18
PGD_CCDS113.1	NAD_binding_2	5	165	PF03446.14
APITD1-CORT_CCDS114.1	CENP-S	17	92	PF15630.5
APITD1-CORT_CCDS114.1	Somatostatin	147	163	PF03002.14
APITD1_CCDS115.1	CENP-S	17	92	PF15630.5
CORT_CCDS117.2	Somatostatin	88	104	PF03002.14
DFFA_CCDS118.1	CIDE-N	19	94	PF02017.14
DFFA_CCDS118.1	DFF-C	100	264	PF09033.9
DFFA_CCDS119.1	CIDE-N	19	94	PF02017.14
DFFA_CCDS119.1	DFF-C	100	261	PF09033.9
TARDBP_CCDS122.1	RRM_1	106	164	PF00076.21
TARDBP_CCDS122.1	RRM_1	193	241	PF00076.21
MASP2_CCDS123.1	Trypsin	445	679	PF00089.25
MASP2_CCDS123.1	Sushi	300	361	PF00084.19
MASP2_CCDS123.1	Sushi	366	422	PF00084.19
MASP2_CCDS123.1	CUB	28	133	PF00431.19
MASP2_CCDS123.1	CUB	184	293	PF00431.19
MASP2_CCDS123.1	EGF_CA	138	180	PF07645.14
MASP2_CCDS124.1	CUB	28	134	PF00431.19
MASP2_CCDS124.1	EGF_CA	138	180	PF07645.14
SRM_CCDS125.1	Spermine_synt_N	19	73	PF17284.1
SRM_CCDS125.1	Spermine_synth	76	260	PF01564.16
EXOSC10_CCDS126.1	DNA_pol_A_exo1	289	455	PF01612.19
EXOSC10_CCDS126.1	HRDC	506	572	PF00570.22
EXOSC10_CCDS126.1	PMC2NT	44	133	PF08066.11
MTOR_CCDS127.1	FRB_dom	2015	2113	PF08771.10
MTOR_CCDS127.1	PI3_PI4_kinase	2183	2430	PF00454.26
MTOR_CCDS127.1	DUF3385	854	1024	PF11865.7
MTOR_CCDS127.1	FATC	2519	2549	PF02260.19
MTOR_CCDS127.1	FAT	1513	1908	PF02259.22
ANGPTL7_CCDS128.1	Fibrinogen_C	130	341	PF00147.17
UBIAD1_CCDS129.1	UbiA	62	316	PF01040.17
FBXO2_CCDS130.1	FBA	114	294	PF04300.12
FBXO2_CCDS130.1	F-box	47	92	PF00646.32
FBXO44_CCDS131.1	FBA	72	124	PF04300.12
FBXO44_CCDS131.1	F-box-like	6	53	PF12937.6
FBXO44_CCDS132.1	FBA	72	250	PF04300.12
FBXO44_CCDS132.1	F-box-like	6	53	PF12937.6
FBXO6_CCDS133.1	FBA	79	257	PF04300.12
FBXO6_CCDS133.1	F-box-like	13	60	PF12937.6
MAD2L2_CCDS134.1	HORMA	20	103	PF02301.17
DRAXIN_CCDS135.1	Draxin	38	349	PF15550.5
AGTRAP_CCDS136.1	AGTRAP	9	153	PF06396.10
MTHFR_CCDS137.1	MTHFR	48	337	PF02219.16
CLCN6_CCDS138.1	Voltage_CLC	140	569	PF00654.19
CLCN6_CCDS138.1	CBS	601	639	PF00571.27
CLCN6_CCDS138.1	CBS	806	853	PF00571.27
NPPA_CCDS139.1	ANP	121	146	PF00212.17
NPPB_CCDS140.1	ANP	99	128	PF00212.17
KIAA2013_CCDS141.1	DUF2152	6	629	PF10222.8
PLOD1_CCDS142.1	2OG-FeII_Oxy	640	726	PF03171.19
MIIP_CCDS143.1	MIIP	40	377	PF15734.4
TNFRSF8_CCDS144.1	TNFR_c6	108	149	PF00020.17
TNFRSF1B_CCDS145.1	TNFR_c6	40	75	PF00020.17
TNFRSF1B_CCDS145.1	TNFR_c6	78	118	PF00020.17
TNFRSF1B_CCDS145.1	TNFR_c6	120	161	PF00020.17
DHRS3_CCDS146.1	adh_short	40	229	PF00106.24
PRDM2_CCDS150.1	SET	83	141	PF00856.27
PRDM2_CCDS150.1	zf-C2H2_6	483	507	PF13912.5
PRDM2_CCDS150.1	zf-C2H2_6	1455	1473	PF13912.5
PRDM2_CCDS150.1	zf-C2H2	360	382	PF00096.25
PRDM2_CCDS150.1	zf-C2H2	390	412	PF00096.25
PRDM2_CCDS151.1	SET	83	141	PF00856.27
PRDM2_CCDS151.1	zf-C2H2_6	483	507	PF13912.5
PRDM2_CCDS151.1	zf-C2H2_6	1455	1473	PF13912.5
PRDM2_CCDS151.1	zf-C2H2	360	382	PF00096.25
PRDM2_CCDS151.1	zf-C2H2	390	412	PF00096.25
KAZN_CCDS152.2	SAM_1	444	508	PF00536.29
KAZN_CCDS152.2	SAM_1	530	583	PF00536.29
KAZN_CCDS152.2	SAM_2	610	666	PF07647.16
TMEM51_CCDS154.1	TMEM51	7	240	PF15345.5
EFHD2_CCDS155.1	EF-hand_7	96	157	PF13499.5
CTRC_CCDS156.1	Trypsin	30	262	PF00089.25
CELA2A_CCDS157.1	Trypsin	29	262	PF00089.25
CASP9_CCDS158.1	CARD	7	90	PF00619.20
CASP9_CCDS158.1	Peptidase_C14	161	413	PF00656.21
CASP9_CCDS159.2	Peptidase_C14	78	330	PF00656.21
AGMAT_CCDS160.1	Arginase	72	343	PF00491.20
SLC25A34_CCDS162.1	Mito_carr	4	92	PF00153.26
SLC25A34_CCDS162.1	Mito_carr	104	198	PF00153.26
SLC25A34_CCDS162.1	Mito_carr	205	296	PF00153.26
FBLIM1_CCDS163.1	LIM	183	238	PF00412.21
FBLIM1_CCDS163.1	LIM	243	299	PF00412.21
FBLIM1_CCDS163.1	LIM	303	367	PF00412.21
SPEN_CCDS164.1	RRM_1	8	69	PF00076.21
SPEN_CCDS164.1	RRM_1	339	406	PF00076.21
SPEN_CCDS164.1	RRM_1	440	507	PF00076.21
SPEN_CCDS164.1	RRM_1	520	583	PF00076.21
SPEN_CCDS164.1	SPOC	3500	3662	PF07744.12
ZBTB17_CCDS165.1	zf-C2H2_4	502	524	PF13894.5
ZBTB17_CCDS165.1	BTB	14	110	PF00651.30
ZBTB17_CCDS165.1	zf-C2H2	306	328	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	390	412	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	418	440	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	446	468	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	475	496	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	531	552	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	558	580	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	586	608	PF00096.25
ZBTB17_CCDS165.1	zf-C2H2	614	637	PF00096.25
C1orf64_CCDS166.1	DUF4654	34	169	PF15547.5
CLCNKA_CCDS167.1	Voltage_CLC	104	513	PF00654.19
CLCNKA_CCDS167.1	CBS	547	603	PF00571.27
CLCNKB_CCDS168.1	Voltage_CLC	104	513	PF00654.19
CLCNKB_CCDS168.1	CBS	547	604	PF00571.27
EPHA2_CCDS169.1	Pkinase_Tyr	615	871	PF07714.16
EPHA2_CCDS169.1	SAM_1	904	966	PF00536.29
EPHA2_CCDS169.1	Ephrin_lbd	29	201	PF01404.18
EPHA2_CCDS169.1	fn3	330	419	PF00041.20
EPHA2_CCDS169.1	fn3	438	519	PF00041.20
EPHA2_CCDS169.1	EphA2_TM	537	610	PF14575.5
ARHGEF19_CCDS170.1	RhoGEF	382	558	PF00621.19
ARHGEF19_CCDS170.1	SH3_9	726	772	PF14604.5
RSG1_CCDS171.1	Ras	57	200	PF00071.21
NECAP2_CCDS173.1	DUF1681	6	162	PF07933.13
MFAP2_CCDS174.1	ShK	153	183	PF01549.23
MFAP2_CCDS174.1	MAGP	4	151	PF05507.10
ATP13A2_CCDS175.1	P5-ATPase	34	175	PF12409.7
ATP13A2_CCDS175.1	E1-E2_ATPase	295	491	PF00122.19
ATP13A2_CCDS175.1	Hydrolase	509	765	PF00702.25
SDHB_CCDS176.1	Fer2_3	42	147	PF13085.5
SDHB_CCDS176.1	Fer4_17	185	258	PF13534.5
PADI2_CCDS177.1	PAD_N	1	114	PF08526.9
PADI2_CCDS177.1	PAD	284	662	PF03068.14
PADI2_CCDS177.1	PAD_M	116	274	PF08527.9
PADI1_CCDS178.1	PAD_N	1	113	PF08526.9
PADI1_CCDS178.1	PAD	282	660	PF03068.14
PADI1_CCDS178.1	PAD_M	115	273	PF08527.9
PADI3_CCDS179.1	PAD_N	1	113	PF08526.9
PADI3_CCDS179.1	PAD	283	661	PF03068.14
PADI3_CCDS179.1	PAD_M	115	273	PF08527.9
PADI4_CCDS180.1	PAD_N	1	111	PF08526.9
PADI4_CCDS180.1	PAD	284	660	PF03068.14
PADI4_CCDS180.1	PAD_M	113	273	PF08527.9
RCC2_CCDS181.1	RCC1	168	217	PF00415.17
RCC2_CCDS181.1	RCC1	221	268	PF00415.17
RCC2_CCDS181.1	RCC1	272	345	PF00415.17
RCC2_CCDS181.1	RCC1	350	399	PF00415.17
ARHGEF10L_CCDS182.1	RhoGEF	323	501	PF00621.19
ACTL8_CCDS183.1	Actin	4	363	PF00022.18
IGSF21_CCDS184.1	V-set	36	122	PF07686.16
KLHDC7A_CCDS185.2	Kelch_1	532	572	PF01344.24
KLHDC7A_CCDS185.2	Kelch_1	578	619	PF01344.24
PAX7_CCDS186.1	Pax7	346	385	PF12360.7
PAX7_CCDS186.1	Homeobox	218	274	PF00046.28
PAX7_CCDS186.1	PAX	34	161	PF00292.17
TAS1R2_CCDS187.1	7tm_3	578	814	PF00003.21
TAS1R2_CCDS187.1	NCD3G	491	544	PF07562.13
TAS1R2_CCDS187.1	ANF_receptor	72	456	PF01094.27
ALDH4A1_CCDS188.1	Aldedh	81	545	PF00171.21
UBR4_CCDS189.1	zf-UBR	1662	1720	PF02207.19
UBR4_CCDS189.1	E3_UbLigase_R4	4367	5163	PF13764.5
EMC1_CCDS190.1	PQQ_2	48	208	PF13360.5
EMC1_CCDS190.1	DUF1620	787	992	PF07774.12
MRTO4_CCDS191.1	Ribosomal_L10	21	119	PF00466.19
AKR7A3_CCDS193.1	Aldo_ket_red	13	319	PF00248.20
AKR7A2_CCDS194.1	Aldo_ket_red	41	347	PF00248.20
PQLC2_CCDS195.2	PQ-loop	38	97	PF04193.13
PQLC2_CCDS195.2	PQ-loop	183	240	PF04193.13
NBL1_CCDS196.2	DAN	31	122	PF03045.14
HTR6_CCDS197.1	7tm_1	44	320	PF00001.20
TMCO4_CCDS198.1	DUF726	185	520	PF05277.11
PLA2G2E_CCDS200.1	Phospholip_A2_1	21	127	PF00068.18
PLA2G2A_CCDS201.1	Phospholip_A2_1	22	130	PF00068.18
PLA2G5_CCDS202.1	Phospholip_A2_1	22	130	PF00068.18
PLA2G2D_CCDS203.1	Phospholip_A2_1	23	129	PF00068.18
PLA2G2F_CCDS204.2	Phospholip_A2_1	65	173	PF00068.18
UBXN10_CCDS205.1	UBX	195	268	PF00789.19
CAMK2N1_CCDS207.1	CaM-KIIN	1	78	PF15170.5
MUL1_CCDS208.1	GIDE	104	251	PF12483.7
MUL1_CCDS208.1	zf-C3HC4_3	300	346	PF13920.5
FAM43B_CCDS209.1	PID_2	71	266	PF14719.5
CDA_CCDS210.1	dCMP_cyt_deam_1	16	116	PF00383.22
PINK1_CCDS211.1	Pkinase	267	503	PF00069.24
DDOST_CCDS212.1	DDOST_48kD	47	455	PF03345.13
KIF17_CCDS213.1	Kinesin	11	335	PF00225.22
EIF4G3_CCDS214.1	MA3	1222	1333	PF02847.16
EIF4G3_CCDS214.1	W2	1507	1584	PF02020.17
EIF4G3_CCDS214.1	MIF4G	755	981	PF02854.18
ECE1_CCDS215.1	Peptidase_M13	566	769	PF01431.20
ECE1_CCDS215.1	Peptidase_M13_N	121	507	PF05649.12
ALPL_CCDS217.1	Alk_phosphatase	51	490	PF00245.19
RAP1GAP_CCDS218.1	Rap_GAP	211	390	PF02145.14
RAP1GAP_CCDS218.1	GoLoco	1	17	PF02188.16
CELA3B_CCDS219.1	Trypsin	29	263	PF00089.25
CELA3A_CCDS220.1	Trypsin	30	263	PF00089.25
CDC42_CCDS221.1	Ras	5	175	PF00071.21
CDC42_CCDS222.1	Ras	5	175	PF00071.21
WNT4_CCDS223.1	wnt	46	351	PF00110.18
ZBTB40_CCDS224.1	zf-met	1137	1156	PF12874.6
ZBTB40_CCDS224.1	BTB	17	114	PF00651.30
ZBTB40_CCDS224.1	zf-C2H2	836	858	PF00096.25
ZBTB40_CCDS224.1	zf-C2H2	893	915	PF00096.25
ZBTB40_CCDS224.1	zf-C2H2	921	944	PF00096.25
ZBTB40_CCDS224.1	zf-C2H2	978	1000	PF00096.25
EPHA8_CCDS225.1	Pkinase_Tyr	635	892	PF07714.16
EPHA8_CCDS225.1	SAM_1	934	992	PF00536.29
EPHA8_CCDS225.1	Ephrin_lbd	33	204	PF01404.18
EPHA8_CCDS225.1	fn3	330	419	PF00041.20
EPHA8_CCDS225.1	fn3	439	524	PF00041.20
EPHA8_CCDS225.1	EphA2_TM	545	632	PF14575.5
C1QA_CCDS226.1	C1q	116	241	PF00386.20
C1QA_CCDS226.1	Collagen	62	108	PF01391.17
C1QC_CCDS227.1	C1q	121	242	PF00386.20
C1QC_CCDS227.1	Collagen	66	113	PF01391.17
C1QB_CCDS228.1	C1q	123	247	PF00386.20
C1QB_CCDS228.1	Collagen	33	85	PF01391.17
C1QB_CCDS228.1	Collagen	60	115	PF01391.17
EPHB2_CCDS229.2	Pkinase_Tyr	622	880	PF07714.16
EPHB2_CCDS229.2	SAM_1	912	974	PF00536.29
EPHB2_CCDS229.2	Ephrin_rec_like	268	302	PF07699.12
EPHB2_CCDS229.2	Ephrin_lbd	21	197	PF01404.18
EPHB2_CCDS229.2	fn3	326	421	PF00041.20
EPHB2_CCDS229.2	fn3	437	520	PF00041.20
EPHB2_CCDS229.2	EphA2_TM	544	617	PF14575.5
EPHB2_CCDS230.1	Pkinase_Tyr	623	881	PF07714.16
EPHB2_CCDS230.1	SAM_1	913	975	PF00536.29
EPHB2_CCDS230.1	Ephrin_rec_like	268	302	PF07699.12
EPHB2_CCDS230.1	Ephrin_lbd	21	197	PF01404.18
EPHB2_CCDS230.1	fn3	326	421	PF00041.20
EPHB2_CCDS230.1	fn3	437	520	PF00041.20
EPHB2_CCDS230.1	EphA2_TM	544	618	PF14575.5
HTR1D_CCDS231.1	7tm_1	56	356	PF00001.20
HNRNPR_CCDS232.1	RRM_1	167	231	PF00076.21
HNRNPR_CCDS232.1	RRM_1	248	310	PF00076.21
HNRNPR_CCDS232.1	RRM_1	343	404	PF00076.21
ZNF436_CCDS233.1	zf-C2H2	138	160	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	166	188	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	194	216	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	222	244	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	250	272	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	278	300	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	306	328	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	334	356	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	362	384	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	390	412	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	418	440	PF00096.25
ZNF436_CCDS233.1	zf-C2H2	446	468	PF00096.25
ZNF436_CCDS233.1	KRAB	13	54	PF01352.26
ASAP3_CCDS235.1	PH	304	392	PF00169.28
ASAP3_CCDS235.1	Ank_2	590	675	PF12796.6
ASAP3_CCDS235.1	ArfGap	429	542	PF01412.17
ASAP3_CCDS235.1	BAR_3	32	257	PF16746.4
